numero	grupo	equipamento	nome	queixa_do_hugo
2	Peito	Máquina	Chest press unilateral	mudar nome para crucifixo unilateral/ movimento está errado.
23	Peito	TRX	Flexão de braço no TRX	movimento errado
35	Peito	Barra	Supino declinado	movimento errado
39	Peito	Barra	Supino inclinado	supino inclinado banco
57	Costas	Barra	Bom dia com barra	retirar o peso da barra
83	Costas	Polia	Remada baixa com corda	remada com argola/ melhor movimento
92	Costas	Barra	Remada curvada pegada supinada	pegada está errada
141	Ombros	Elástico	Rotação externa com elástico	movimento errado
155	Bíceps	Barra W	Rosca direta com barra W	ajustar a barra
160	Bíceps	Barra	Rosca inversa	mudar a pegada
166	Bíceps	Barra W	Rosca Scott	nome: rosca scott com barra reta (ajustar a barra)
167	Bíceps	Barra W	Rosca Scott com barra W	ajustar a barra
198	Tríceps	Barra W	Tríceps testa	movimento errado
199	Tríceps	Barra W	Tríceps testa com barra W	movimento errado
201	Tríceps	Halteres	Tríceps testa com halteres	melhorar o movimento
211	Trapézio	Halteres	Encolhimento com halteres	melhorar movimento
216	Trapézio	Smith	Encolhimento no smith	ajustar o movimento
238	Pernas	Barra	Agachamento frontal	passar a barra para frente
255	Pernas	Caneleira	Extensão de joelho com caneleira	ajustar o banco
271	Pernas	Halteres	Terra sumô com halteres	agachamento sumô com halteres - melhorar a pegada
302	Glúteos	Elástico	Abdução em pé com elástico	melhorar o movimento
309	Glúteos	Elástico	Caminhada lateral com elástico	deslocamento lateral com miniband - melhorar movimento
311	Glúteos	Caneleira	Coice de glúteo com caneleira	glúteo coice com caneleira - colocar caneleira, colchonete e deixar os cotovelos flexionados
319	Glúteos	Smith	Elevação de quadril no smith	ajustar o banco
330	Glúteos	Halteres	Subida no step alta para glúteo	subida no step com halter (colocar o pé completo no step)
359	Core	Peso corporal	Dead bug	melhorar o movimento
385	Core	Equipamento	Roda abdominal ajoelhado	corrigir o movimento
386	Core	Barra	Rollout na barra	corrigir o movimento
398	Funcional	Bicicleta	Bicicleta ergométrica	trocar a bicicleta
